id,value
id_0,5.174960398984738
id_1,18.306214253527898
id_2,20.49121809418055
id_3,11.52394286980536
id_4,26.616056752306125
id_5,20.531348081761216
id_6,21.90655101879739
id_7,31.736468747068834
id_8,13.391674055111721
id_9,64.45646650291954
id_10,20.264568836159434
id_11,15.35857607736122
id_12,68.58947276926722
id_13,48.42811374745719
id_14,18.702333824193225
id_15,10.188595737466695
id_16,30.74036285982045
id_17,71.1322177635511
id_18,-4.130517391262442
id_19,18.235694016428685
id_20,38.57892227500775
id_21,71.31151972531332
id_22,7.410348162634072
id_23,18.717955330321423
id_24,14.937250260084577
id_25,36.71973669470532
id_26,17.961697005662707
id_27,75.78946287210537
id_28,12.309310248614473
id_29,56.2953517396496
id_30,25.11316086566149
id_31,4.610248674094032
id_32,2.4837705545150244
id_33,24.759422261321273
id_34,30.480280465591175
id_35,38.46393074642667
id_36,44.20231060933003
id_37,30.086836019866006
id_38,40.4736750157401
id_39,29.226479902317365
id_40,5.606456054343949
id_41,38.66601607878962
id_42,34.61021343187719
id_43,48.38969750738481
id_44,14.757247666944178
id_45,34.46682011087209
id_46,27.483106874184354
id_47,12.000879378154048
id_48,21.378036151603787
id_49,28.54440309166329
id_50,20.1655138184116
id_51,10.796678149746489
id_52,22.17103575575011
id_53,53.446263109352266
id_54,12.219581121610052
id_55,43.30096845517152
id_56,32.18233510328541
id_57,22.567217514570793
id_58,56.73951416554706
id_59,20.74505294529549
id_60,15.028854557473275
id_61,39.85530159038512
id_62,12.97534068072829
id_63,51.74165959283005
id_64,18.783369632539852
id_65,12.348752842777673
id_66,15.633623653541925
id_67,-0.05887147068501575
id_68,41.50801107307598
id_69,31.548747530656005
id_70,18.604251157547075
id_71,37.47681972488067
id_72,56.520390657623054
id_73,6.5878771935219405
id_74,12.22933973743503
id_75,5.2036964041346225
id_76,47.92737510380061
id_77,13.020705685594669
id_78,17.110301693903626
id_79,20.603234531002048
id_80,21.28448156078459
id_81,38.6929352905118
id_82,30.02071667572585
id_83,88.76740666723545
id_84,35.98470023966829
id_85,26.756913553477194
id_86,23.96351684356441
id_87,32.747242828083074
id_88,22.189043755319936
id_89,20.992158853626524
id_90,29.555994316645457
id_91,40.992168866517794
id_92,8.625117809911572
id_93,32.3214718088779
id_94,46.5980443653676
id_95,22.884070826723523
id_96,31.518129728251655
id_97,11.198233479766113
id_98,28.527436642529608
id_99,0.29115068008963013
id_100,17.966961079539697
id_101,27.12416392947017
id_102,11.398232780652826
id_103,16.42642686567353
id_104,23.425261046922184
id_105,40.61608267056842
id_106,25.864125026560412
id_107,5.422736951672385
id_108,10.794921122256119
id_109,72.86213692992125
id_110,48.022837059481375
id_111,15.746808276902996
id_112,24.670410614177946
id_113,12.82779332653671
id_114,10.158057570240533
id_115,27.269223342020975
id_116,29.208738577932433
id_117,8.835339619930753
id_118,20.05108813712976
id_119,20.21233374376426
id_120,79.9060092987056
id_121,18.0616142882636
id_122,30.54280934130433
id_123,25.980792377728054
id_124,5.2125772681647815
id_125,30.355697305856218
id_126,7.768322888914624
id_127,15.328268255393306
id_128,22.66636571769797
id_129,62.74205421109005
id_130,18.950780367987992
id_131,19.076355630838535
id_132,61.3715740916371
id_133,15.884562052629718
id_134,13.409418077705558
id_135,0.848772483611286
id_136,7.834996717304144
id_137,57.012829011796796
id_138,25.60799675181381
id_139,4.961704729242086
id_140,36.41487903906276
id_141,28.79000672197593
id_142,49.194120961976324
id_143,40.30686985573448
id_144,13.31618059398266
id_145,27.661011875229157
id_146,17.15802752436676
id_147,49.68726256929682
id_148,23.030272291604774
id_149,39.240936524842766
id_150,13.196753889412523
id_151,5.948893701039413
id_152,25.821608976304237
id_153,8.258634214291632
id_154,19.14632051722559
id_155,43.18248652651673
id_156,6.717843578093037
id_157,33.86961524681067
id_158,15.369937846981818
id_159,16.93904497355194
id_160,37.88533679463485
id_161,19.202484541054453
id_162,9.05950471565473
id_163,10.283399610648491
id_164,48.67244712569831
id_165,30.58771621323084
id_166,2.4774098975321754
id_167,12.811603937805943
id_168,70.32478980976461
id_169,14.840967694067054
id_170,68.86558756678862
id_171,42.74199244486635
id_172,24.000261542920168
id_173,23.420724860321453
id_174,61.672124435682385
id_175,25.49420284505918
id_176,19.00480978686909
id_177,34.88668288189682
id_178,9.40231339837975
id_179,29.520011314408013
id_180,14.57396588570049
id_181,9.125563143203587
id_182,52.812583998131885
id_183,45.039537994389576
id_184,17.452434679183288
id_185,38.49393527971432
id_186,27.03891909264383
id_187,65.58170967424586
id_188,7.037306380769572
id_189,52.714477134115704
id_190,38.20645933704978
id_191,21.169801059557827
id_192,30.247556879488403
id_193,2.7144229897163177
id_194,19.932932587640813
id_195,-3.4133323376039337
id_196,32.44599940281315
id_197,10.582973029979945
id_198,21.77522570725845
id_199,62.46529206567793
id_200,24.13294368731649
id_201,26.20123964740095
id_202,63.74447723440287
id_203,2.83429777412904
id_204,14.379246986978847
id_205,9.369850731753887
id_206,9.881166613595408
id_207,3.4949453589721373
id_208,122.6080493792178
id_209,21.08351301448057
id_210,17.53222059945513
id_211,20.18309834459699
id_212,36.39313221228184
id_213,34.935151205290694
id_214,18.830312661458617
id_215,38.34455552272332
id_216,77.91663413807039
id_217,1.7953235508882106
id_218,13.445827939135771
id_219,36.131155590412135
id_220,15.150403498166298
id_221,12.941848334417928
id_222,113.12524093786388
id_223,15.224604677934382
id_224,14.824025968612077
id_225,59.267353688540446
id_226,10.583695290718467
id_227,20.9930625635322
id_228,9.789365880830383
id_229,4.771180008705975
id_230,47.927806904812904
id_231,12.399438394751042
id_232,48.14647656264414
id_233,40.46638039656415
id_234,16.940590270332947
id_235,41.266544489418735
id_236,69.027892033729
id_237,40.34624924412243
id_238,14.313743982871129
id_239,15.770726634219796
